Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
20MICRONS,20 Microns Limited,0.0,0.0,0.0,0.0,0.0
21STCENMGM,21st Century Management Services Limited,0.0,0.0,0.0,0.0,0.0
360ONE,360 ONE WAM LIMITED,0.0,0.0,0.0,0.0,0.0
3BBLACKBIO,3B Blackbio Dx Limited,0.0,0.0,0.0,0.0,0.0
3IINFOLTD,3i Infotech Limited,0.0,0.0,0.0,0.0,0.0
3MINDIA,3M India Limited,0.0,0.0,0.0,0.0,0.0
3PLAND,3P Land Holdings Limited,0.0,0.0,0.0,0.0,0.0
5PAISA,5Paisa Capital Limited,0.0,0.0,0.0,0.0,0.0
63MOONS,63 moons technologies limited,0.0,0.0,0.0,0.0,0.0
A2ZINFRA,A2Z Infra Engineering Limited,0.0,0.0,0.0,0.0,0.0
AAATECH,AAA Technologies Limited,0.0,0.0,0.0,0.0,0.0
AADHARHFC,Aadhar Housing Finance Limited,0.0,0.0,0.0,0.0,0.0
AAKASH,Aakash Exploration Services Limited,0.0,0.0,0.0,0.0,0.0
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,0.0,0.0,0.0,0.0,0.0
AARNAV,Aarnav Fashions Limited,0.0,0.0,0.0,0.0,0.0
AARON,Aaron Industries Limited,0.0,0.0,0.0,0.0,0.0
AARTECH,Aartech Solonics Limited,0.0,0.0,0.0,0.0,0.0
AARTIDRUGS,Aarti Drugs Limited,0.0,0.0,0.0,0.0,0.0
AARTIIND,Aarti Industries Limited,0.0,0.0,0.0,0.0,0.0
AARTIPHARM,Aarti Pharmalabs Limited,0.0,0.0,0.0,0.0,0.0
AARTISURF,Aarti Surfactants Limited,0.0,0.0,0.0,0.0,0.0
AARVI,Aarvi Encon Limited,0.0,0.0,0.0,0.0,0.0
AASTHA,Aastha Spintex Limited,0.0,0.0,0.0,0.0,0.0
AAVAS,Aavas Financiers Limited,0.0,0.0,0.0,0.0,0.0
ABAN,Aban Offshore Limited,0.0,0.0,0.0,0.0,0.0
ABANSENT,Abans Enterprises Limited,0.0,0.0,0.0,0.0,0.0
ABB,ABB India Limited,0.0,0.0,0.0,0.0,0.0
ABBOTINDIA,Abbott India Limited,0.0,0.0,0.0,0.0,0.0
ABCAPITAL,Aditya Birla Capital Limited,0.0,0.0,0.0,0.0,0.0
ABCOTS,A B Cotspin India Limited,0.0,0.0,0.0,0.0,0.0
ABDL,Allied Blenders and Distillers Limited,0.0,0.0,0.0,0.0,0.0
ABFRL,Aditya Birla Fashion and Retail Limited,0.0,0.0,0.0,0.0,0.0
ABINFRA,A B Infrabuild Limited,0.0,0.0,0.0,0.0,0.0
ABLBL,Aditya Birla Lifestyle Brands Limited,0.0,0.0,0.0,0.0,0.0
ABMINTLLTD,ABM International Limited,0.0,0.0,0.0,0.0,0.0
ABMKNO,ABM Knowledgeware Limited,0.0,0.0,0.0,0.0,0.0
ABREL,Aditya Birla Real Estate Limited,0.0,0.0,0.0,0.0,0.0
ABSLAMC,Aditya Birla Sun Life AMC Limited,0.0,0.0,0.0,0.0,0.0
ACC,ACC Limited,0.0,0.0,0.0,0.0,0.0
ACCELYA,Accelya Solutions India Limited,0.0,0.0,0.0,0.0,0.0
ACCURACY,Accuracy Shipping Limited,0.0,0.0,0.0,0.0,0.0
ACE,Action Construction Equipment Limited,0.0,0.0,0.0,0.0,0.0
ACEINTEG,Ace Integrated Solutions Limited,0.0,0.0,0.0,0.0,0.0
ACI,Archean Chemical Industries Limited,0.0,0.0,0.0,0.0,0.0
ACL,Andhra Cements Limited,0.0,0.0,0.0,0.0,0.0
ACMESOLAR,Acme Solar Holdings Limited,0.0,0.0,0.0,0.0,0.0
ACSTECH,ACS Technologies Limited,0.0,0.0,0.0,0.0,0.0
ACUTAAS,Acutaas Chemicals Limited,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,Adani Energy Solutions Limited,0.0,0.0,0.0,0.0,0.0
ADANIENT,Adani Enterprises Limited,0.0,0.0,0.0,0.0,0.0
ADANIGREEN,Adani Green Energy Limited,0.0,0.0,0.0,0.0,0.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,0.0,0.0,0.0,0.0,0.0
ADANIPOWER,Adani Power Limited,0.0,0.0,0.0,0.0,0.0
ADFFOODS,ADF Foods Limited,0.0,0.0,0.0,0.0,0.0
ADL,Archidply Decor Limited,0.0,0.0,0.0,0.0,0.0
ADOR,Ador Welding Limited,0.0,0.0,0.0,0.0,0.0
ADROITINFO,Adroit Infotech Limited,0.0,0.0,0.0,0.0,0.0
ADSL,Allied Digital Services Limited,0.0,0.0,0.0,0.0,0.0
ADVAIT,Advait Energy Transitions Limited,0.0,0.0,0.0,0.0,0.0
ADVANCE,Advance Agrolife Limited,0.0,0.0,0.0,0.0,0.0
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,0.0,0.0,0.0,0.0,0.0
ADVENTHTL,Advent Hotels International Limited,0.0,0.0,0.0,0.0,0.0
ADVENZYMES,Advanced Enzyme Technologies Limited,0.0,0.0,0.0,0.0,0.0
AEGISLOG,Aegis Logistics Limited,0.0,0.0,0.0,0.0,0.0
AEGISVOPAK,Aegis Vopak Terminals Limited,0.0,0.0,0.0,0.0,0.0
AEPL,Artemis Electricals and Projects Limited,0.0,0.0,0.0,0.0,0.0
AEQUS,Aequs Limited,0.0,0.0,0.0,0.0,0.0
AEROENTER,Aeroflex Enterprises Limited,0.0,0.0,0.0,0.0,0.0
AEROFLEX,Aeroflex Industries Limited,0.0,0.0,0.0,0.0,0.0
AERONEU,Aeroflex Neu Limited,0.0,0.0,0.0,0.0,0.0
AETHER,Aether Industries Limited,0.0,0.0,0.0,0.0,0.0
AFCONS,Afcons Infrastructure Limited,0.0,0.0,0.0,0.0,0.0
AFFLE,Affle 3i Limited,0.0,0.0,0.0,0.0,0.0
AFFORDABLE,Affordable Robotic & Automation Limited,0.0,0.0,0.0,0.0,0.0
AFIL,Akme Fintrade (India) Limited,0.0,0.0,0.0,0.0,0.0
AFSL,Abans Financial Services Limited,0.0,0.0,0.0,0.0,0.0
AGARIND,Agarwal Industrial Corporation Limited,0.0,0.0,0.0,0.0,0.0
AGARWALEYE,Dr. Agarwal's Health Care Limited,0.0,0.0,0.0,0.0,0.0
AGI,AGI Greenpac Limited,0.0,0.0,0.0,0.0,0.0
AGIIL,Agi Infra Limited,0.0,0.0,0.0,0.0,0.0
AGL,Allcargo Global Limited,0.0,0.0,0.0,0.0,0.0
AGRITECH,Agri-Tech (India) Limited,0.0,0.0,0.0,0.0,0.0
AGROPHOS,Agro Phos India Limited,0.0,0.0,0.0,0.0,0.0
AGSTRA,AGS Transact Technologies Limited,0.0,0.0,0.0,0.0,0.0
AHCL,Anlon Healthcare Limited,0.0,0.0,0.0,0.0,0.0
